artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,notes
DST-001,design-table/fujara-dimensions-parametric.xlsx,design_table,design_table,fabrication,,derived_from_authority,Parametric workbook is candidate dimension authority and must be selected/reviewed per key before build
DST-002,fujara-design-table.xlsx,design_table,design_table,fabrication,design-table/fujara-dimensions-parametric.xlsx,derived_from_authority,Historical workbook reference for dimension review
CAD-001,CAD/fujara-body/Fujara_Assembly.SLDASM,cad,fabrication_geometry,fabrication,DST-001,derived_from_authority,Native SolidWorks assembly source
CAD-002,CAD/fujara-body/G2Fujara_Assembly.SLDASM_dimensions.csv,measurement_template,measurement_template,fabrication,CAD-001,derived_from_authority,Extracted SolidWorks dimension CSV for G2 reference review
CAD-003,CAD/fujara.scad,cad,fabrication_geometry,fabrication,DST-001,derived_from_authority,OpenSCAD starter with named parameters; review scaffold not standalone CAM
DXF-001,drawings/fujara.dxf,dxf,dimensioned_drawing,fabrication,CAD-003,derived_from_authority,Dimensioned review plate; not CNC toolpath output
SVG-001,drawings/fujara.svg,svg_preview,derived_preview,derived_preview,DXF-001,derived_from_authority,Human-readable vector preview derived from the review plate
PDF-001,print-packet/assembly-plate.pdf,drawing_pdf,dimensioned_drawing,fabrication,DXF-001,derived_from_authority,Annotated assembly review plate
IMG-001,images/00-hero-fujara.png,render_preview,concept,concept_only,,none,Concept hero render only; no dimensional authority
IMG-002,images/hero-render.png,render_preview,concept,concept_only,IMG-001,none,Issue #5 expected hero-render path; copied from existing concept hero and not dimensional authority
